,Muntsoort,Transactiedatum,Rentedatum,Beginsaldo,Eindsaldo,Transactiebedrag,Omschrijving
987654321,EUR,20260501,20260501,5800,5761,-39,/TRTP/SEPA Incasso algemeen doorlopend/CSID/NL03ZZZ301243580000/NAME/NS GROEP IZ NS REIZIGERS/MARF/200002915510/REMI/Factuur: 452003569256/IBAN/NL14ABNA0576850675/BIC/ABNANL2A/EREF/220047573796
987654321,EUR,20260502,20260502,5761,5726,-35,/TRTP/SEPA Incasso algemeen doorlopend/CSID/NL47ZZZ370924590000/NAME/FitZone Amsterdam B.V./MARF/123456789/REMI/05-2026 / 05-06-2026/IBAN/NL24RABO0168476207/BIC/RABONL2U/EREF/NO123456789-0103
987654321,EUR,20260503,20260503,5726,5708.5,-17.5,"BEA, Betaalpas                   Albert Heijn 5678,PAS135        NR:CD789012, 03.05.26/10:30      AMSTERDAM"
987654321,EUR,20260505,20260505,5708.5,5683.5,-25,"BEA, Betaalpas                   Jumbo Supermarkt,PAS135         NR:EF345678, 05.05.26/11:00      AMSTERDAM"
987654321,EUR,20260506,20260506,5683.5,5651.5,-32,/TRTP/iDEAL/Wero/IBAN/NL04ADYB2017400157/BIC/ADYBNL2A/NAME/Cafe De Blauwe Tulp/REMI/TABLE 12/EREF/06-05-2026 19:30
987654321,EUR,20260506,20260506,5651.5,5637.7,-13.8,"BEA, Betaalpas                   CAFE DE BLAUWE TULP,PAS135      NR:50244383, 06.05.26/22:00      AMSTERDAM"
987654321,EUR,20260508,20260508,5637.7,5571.7,-66,/TRTP/iDEAL/Wero/IBAN/NL60INGB0000231449/BIC/INGBNL2A/NAME/Bol.com/REMI/ORDER 4829301847 Your order at bol.com/EREF/08-05-2026 09:00
987654321,EUR,20260510,20260510,5571.7,5554.2,-17.5,"BEA, Betaalpas                   Albert Heijn 5678,PAS135        NR:CD789013, 10.05.26/13:15      AMSTERDAM"
987654321,EUR,20260512,20260512,5554.2,5532.2,-22,"BEA, Betaalpas                   Jumbo Supermarkt,PAS135         NR:EF345679, 12.05.26/10:45      AMSTERDAM"
987654321,EUR,20260514,20260514,5532.2,5414.2,-118,/TRTP/iDEAL/Wero/IBAN/NL29DEUT0319800040/BIC/DEUTNL2AXXX/NAME/Trivago Hotels B.V./REMI/BOOKING REF TRV-2948301/EREF/14-05-2026 15:00
987654321,EUR,20260515,20260515,5414.2,5392.7,-21.5,"BEA, Betaalpas                   Albert Heijn 5678,PAS135        NR:CD789014, 15.05.26/12:00      AMSTERDAM"
987654321,EUR,20260517,20260517,5392.7,5374.7,-18,"BEA, Betaalpas                   Restaurant De Gouden Lepel,PAS135 NR:60334421, 17.05.26/20:00    AMSTERDAM"
987654321,EUR,20260519,20260519,5374.7,5319.7,-55,/TRTP/iDEAL/Wero/IBAN/NL60INGB0000231449/BIC/INGBNL2A/NAME/Amazon.nl/REMI/ORDER 204-3849201-4820134 Your order at amazon.nl/EREF/19-05-2026 11:00
987654321,EUR,20260520,20260520,5319.7,5301.2,-18.5,"BEA, Betaalpas                   Albert Heijn 5678,PAS135        NR:CD789015, 20.05.26/11:30      AMSTERDAM"
987654321,EUR,20260521,20260521,5301.2,5283.7,-17.5,"BEA, Betaalpas                   Jumbo Supermarkt,PAS135         NR:EF345680, 21.05.26/10:00      AMSTERDAM"
987654321,EUR,20260522,20260522,5283.7,5255.7,-28,"BEA, Betaalpas                   Bar Rooftop Noord,PAS135        NR:71445532, 22.05.26/21:30      AMSTERDAM"
987654321,EUR,20260524,20260524,5255.7,5241.9,-13.8,"BEA, Betaalpas                   Albert Heijn 5678,PAS135        NR:CD789016, 24.05.26/13:00      AMSTERDAM"
987654321,EUR,20260526,20260526,5241.9,5227.1,-14.8,"BEA, Betaalpas                   Jumbo Supermarkt,PAS135         NR:EF345681, 26.05.26/11:15      AMSTERDAM"
987654321,EUR,20260527,20260527,5227.1,11227.1,6000,/TRTP/SEPA OVERBOEKING/IBAN/NL91ABNA0417164300/BIC/ABNANL2A/NAME/Adidas Group B.V./REMI/Salaris Mei 2026/EREF/20260527122356-214530/1
987654321,EUR,20260528,20260528,11227.1,11222.8,-4.3,"ABN AMRO Bank N.V.               BasisPakket Betalen         4,30"
987654321,EUR,20260528,20260528,11222.8,11180.8,-42,/TRTP/iDEAL/Wero/IBAN/NL60INGB0000231449/BIC/INGBNL2A/NAME/Bol.com/REMI/ORDER 4829301999 Your order at bol.com/EREF/28-05-2026 14:00
987654321,EUR,20260529,20260529,11180.8,11157.3,-23.5,"BEA, Betaalpas                   Albert Heijn 5678,PAS135        NR:CD789017, 29.05.26/12:30      AMSTERDAM"
123456789,EUR,20260527,20260527,4492.37,3577.37,-1500,/TRTP/SEPA OVERBOEKING/IBAN/NL18RABO0123459876/BIC/INGBNL2A/NAME/Maria Santos/EREF/NOTPROVIDED
